Title
Blind Date
Bottoms Up
Bright Eyes
Broadway Bill
Bulldog Drummond Strikes Back
By Your Leave
Caravan
Change of Heart
City Limits
The Count of Monte Cristo
Dames
Down to Their Last Yacht
Fashions of 1934
Finishing School
Fog Over Frisco
The Ghost Walks
Happiness Ahead
Here Comes the Navy
Hide-Out
Hollywood Party
I Am a Thief
I've Got Your Number
It Happened One Night
Jimmy the Gent
Kansas City Princess
Kid Millions
Lady by Choice
Limehouse Blues
Little Miss Marker
Looking for Trouble
The Man with Two Faces
Manhattan Melodrama
The Merry Widow
Midnight
Monte Carlo Nights
The Mysterious Mr. Wong
Now and Forever
Operator 13
Ready for Love
Sequoia
Tarzan and His Mate
The Thin Man
This Man Is Mine
This Side of Heaven
Twenty Million Sweethearts
Viva Villa!
We're Not Dressing
What Every Woman Knows
Whirlpool
The Woman Condemned
Woman in the Dark
Wonder Bar
The World Moves On
You Can't Buy Everything
Air Hawks
Alice Adams
Annie Oakley
Barbary Coast
The Big Broadcast of 1936
Biography of a Bachelor Girl
The Black Room
Bordertown
Bride of Frankenstein
Broadway Melody of 1936
The Call of the Wild
Captain Blood
The Case of the Curious Bride
The Case of the Lucky Legs
The Casino Murder Case
Charlie Chan in Egypt
Charlie Chan in Paris
Charlie Chan in Shanghai
Condemned to Live
The Crusades
The Dark Angel
Devil Dogs of the Air
The Devil is a Woman
Escapade
Four Hours to Kill!
Frisco Kid
Front Page Woman
G Men
The Gilded Lily
The Glass Key
Gold Diggers of 1935
Grand Old Girl
Hands Across the Table
I Dream Too Much
In Caliente
The Last Days of Pompeii
The Last Outpost
Life Returns
The Little Colonel
The Lives of a Bengal Lancer
Living on Velvet
Love in Bloom
Mad Love
Magnificent Obsession
Mark of the Vampire
A Midsummer Night's Dream
Mississippi
Mister Dynamite
Murder in Harlem
Murder in the Fleet
The Murder Man
Murder on a Honeymoon
Mutiny on the Bounty
Naughty Marietta
A Night at the Opera
No More Ladies
One Frightened Night
Professional Soldier
Public Hero No. 1
The Raven
Reckless
Remember Last Night?
Rendezvous
Romance in Manhattan
The Scoundrel
She
She Married Her Boss
Special Agent
Star of Midnight
Thanks a Million
The Three Musketeers
Top Hat
Werewolf of London
Whipsaw
Wings in the Dark
After the Thin Man
And So They Were Married
Anthony Adverse
Banjo on My Knee
The Big Game
The Big Show
Bullets or Ballots
Camille
Captain Calamity
The Case of the Black Cat
Ceiling Zero
The Charge of the Light Brigade
Charlie Chan at the Circus
Charlie Chan at the Opera
Charlie Chan at the Race Track
Charlie Chan's Secret
Chatterbox
Colleen
Conflict
Death in the Air
Desire
Ellis Island
A Face in the Fog
Florida Special
Follow the Fleet
Freshman Love
Fury
The Golden Arrow
House of Secrets
Isle of Fury
The Jungle Princess
Ladies in Love
The Last of the Mohicans
Libeled Lady
Little Lord Fauntleroy
Love on the Run
Modern Times
More Than a Secretary
Mr. Deeds Goes to Town
My Man Godfrey
Next Time We Love
One in a Million
Pennies from Heaven
The Petrified Forest
Pigskin Parade
The Plainsman
The President's Mystery
Revolt of the Zombies
Riffraff
The Rogues Tavern
Rose Marie
San Francisco
Satan Met a Lady
Sea Spoilers
Show Boat
Small Town Girl
Special Investigator
Stowaway
Swing Time
Tarzan Escapes
Till We Meet Again
Under Your Spell
The 13th Man
3 Dumb Clucks
Affairs of Cappy Ricks
Amateur Crook
Angel
Arizona Days
Back in Circulation
Bad Guy
Big City
Big Town Girl
The Bride Wore Red
Broadway Melody of 1938
Bulldog Drummond Comes Back
California Straight Ahead
Captains Courageous
Charlie Chan on Broadway
China Passage
Counsel for Crime
A Damsel in Distress
Dead End
Double or Nothing
Escape by Night
Exclusive
A Family Affair
The Firefly
The Go Getter
The Great Gambini
The Great Garrick
Green Fields
Heroes of the Alamo
"High, Wide and Handsome"
I Cover the War
Idol of the Crowds
In Old Chicago
Kid Galahad
The Last Gangster
Lost Horizon
Love Is on the Air
Marked Woman
Maytime
A Million to One
Murder in Greenwich Village
Night Key
Parnell
The Prince and the Pauper
The Prisoner of Zenda
Quality Street
Riding on Air
Saratoga
Seventh Heaven
Slaves in Bondage
Snow White and the Seven Dwarfs
The Soldier and the Lady
Souls at Sea
Submarine D-1
"Swing High, Swing Low"
Telephone Operator
They Won't Forget
"Think Fast, Mr. Moto"
The Thirteenth Chair
The Toast of New York
True Confession
Under the Red Robe
We Who Are About to Die
Wells Fargo
West of Shanghai
Wild and Woolly
The Woman I Love
Accidents Will Happen
The Adventures of Marco Polo
The Adventures of Robin Hood
Angels with Dirty Faces
Army Girl
Artists and Models Abroad
Child Bride
A Christmas Carol
City Girl
The Devil's Party
Fools for Scandal
Four Daughters
Four's a Crowd
Fugitives for a Night
Gold Diggers in Paris
Gold Is Where You Find It
The Great Waltz
Happy Landing
Hard to Get
Her Jungle Love
Hold That Kiss
Holiday
I Am the Law
I'll Give a Million
If I Were King
Island in the Sky
Joy of Living
Kentucky
King of Alcatraz
Little Miss Broadway
Little Tough Guy
Lord Jeff
Love Finds Andy Hardy
Mad About Music
Man-Proof
Marie Antoinette
Men Are Such Fools
Men with Wings
Midnight Intruder
Mr. Moto's Gamble
"Mr. Wong, Detective"
My Lucky Star
Port of Seven Seas
Rebecca of Sunnybrook Farm
"Rich Man, Poor Girl"
The Saint in New York
The Shopworn Angel
Sky Giant
A Slight Case of Murder
Sweethearts
Swing!
The Terror of Tiny Town
That Certain Age
There's Always a Woman
Too Hot to Handle
Valley of the Giants
Walking Down Broadway
Woman Against Woman
A Yank at Oxford
You and Me
The Young in Heart
Abe Lincoln in Illinois
Before I Hang
Chasing Trouble
Son of Ingagi
Spring Parade
All Through the Night
Sergeant York
A Yank in the RAF
Black Dragons
Casablanca
The Magnificent Ambersons
Tales of Manhattan
Tortilla Flat
Dixie
Phantom of the Opera
A Stranger in Town
Alaska
Blonde Fever
Buffalo Bill
Bugs Bunny Nips the Nips
The Canterville Ghost
The Fighting Sullivans
Hell-Bent for Election
Idle Roomers
It Happened Tomorrow
Lifeboat
Little Red Riding Rabbit
Nabonga
Waterfront
The Yoke's on Me
Zorro's Black Whip
Dillinger
Roughly Speaking
Son of Lassie
The Thin Man Goes Home
"Thunderhead, Son of Flicka"
Gallant Bess
The Green Years
Night in Paradise
The Yearling
Abbott and Costello Meet Frankenstein
Congo Bill
I Remember Mama
The Paleface
Tex Granger
The Time of Your Life
Unknown Island
"Abbott and Costello Meet the Killer, Boris Karloff"
For Heaven's Sake
The Furies
Harvey
Lost Continent
The Man from Planet X
Two Lost Worlds
Unknown World
When Worlds Collide
Hans Christian Andersen
The I Don't Care Girl
I Dream of Jeanie
Million Dollar Mermaid
Stars and Stripes Forever
From Here to Eternity
House of Wax
Inferno
It Came from Outer Space
The Nebraskan
Project Moonbase
The Story of Three Loves
The Caine Mutiny
The Glenn Miller Story
Gog
Killers from Space
Target Earth
Tobor the Great
Young at Heart
Bad Day at Black Rock
Conquest of Space
The Court-Martial of Billy Mitchell
Creature with the Atom Brain
Cult of the Cobra
Day the World Ended
The Gamma People
The Last Command
Love Me or Leave Me
The Seven Little Foys
The Benny Goodman Story
Fire Maidens from Outer Space
Run for the Sun
The She-Creature
Somebody Up There Likes Me
X the Unknown
The 27th Day
The Amazing Colossal Man
The Astounding She-Monster
Baby Face Nelson
Beau James
Beginning of the End
The Brain from Planet Arous
The Cyclops
The Daughter of Dr. Jekyll
The Delicate Delinquent
Interlude
The Night the World Exploded
Not of This Earth
Zombies of Mora Tau
Fiend Without a Face
The Flame Barrier
Flood Tide
From the Earth to the Moon
High School Confidential
It! The Terror from Beyond Space
The Left Handed Gun
Man in the Shadow
Onionhead
The Screaming Skull
She Demons
The Space Children
Space Master X-7
Teenage Cave Man
Terror from the Year 5000
The Thing That Couldn't Die
4D Man
The Angry Red Planet
The Atomic Submarine
Attack of the Giant Leeches
The Bat
Beast from Haunted Cave
"Behemoth, the Sea Monster"
Ben-Hur
The Five Pennies
Dinosaurus!
The Hypnotic Eye
Last Woman on Earth
The Leech Woman
The Little Shop of Horrors
The Lost World
The Wasp Woman
"Atlantis, the Lost Continent"
The Beast of Yucca Flats
The Phantom Planet
Reptilicus
The Brain That Wouldn't Die
The Creation of the Humanoids
Hatari!
Journey to the Seventh Planet
Lawrence of Arabia
Lolita
Panic in Year Zero!
Zotz!
PT 109
The Sadist
They Saved Hitler's Brain
The Americanization of Emily
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
First Men in the Moon
Kiss Me Quick!
The Last Man on Earth
Mary Poppins
Monstrosity
Robinson Crusoe on Mars
Santa Claus Conquers the Martians
Time Travelers
Your Cheatin' Heart
The Agony and the Ecstasy
Beach Blanket Bingo
City Under the Sea
Doctor Zhivago
Harlow
The Human Duplicators
Shenandoah
The Sound of Music
That Darn Cat!
A Thousand Clowns
Around the World Under the Sea
Batman
A Big Hand for the Little Lady
Billy the Kid vs. Dracula
Cyborg 2087
The Daydreamer
Destination Inner Space
Dimension 5
Fantastic Voyage
A Fine Madness
Gambit
How to Steal a Million
Is Paris Burning?
Jesse James Meets Frankenstein's Daughter
Murderers' Row
Nashville Rebel
The Navy vs. the Night Monsters
Our Man Flint
Queen of Blood
The Sand Pebbles
The Silencers
Texas Across the River
Torn Curtain
"What's Up, Tiger Lily?"
Women of the Prehistoric Planet
The Born Losers
The Honey Pot
Journey to the Center of Time
King Kong Escapes
Mars Needs Women
5 Card Stud
The Astro-Zombies
The Biggest Bundle of Them All
Blackbeard's Ghost
Countdown
Head
Paper Lion
Change of Mind
"Goodbye, Mr. Chips"
The Illustrated Man
Marooned
Paint Your Wagon
Popi
The Secret of Santa Vittoria
A Talent for Loving
Tell Them Willie Boy Is Here
The Valley of Gwangi
Catch-22
The Honeymoon Killers
Kelly's Heroes
"M""A*S*H"
Nam's Angels
Patton
"Rabbit, Run"
"Tell Me That You Love Me, Junie Moon"
There Was a Crooked Man...
Tora! Tora! Tora!
Dirty Harry
Fools' Parade
The French Connection
The Incredible 2-Headed Transplant
Johnny Got His Gun
Octaman
The Omega Man
Pretty Maids All in a Row
The Resurrection of Zachary Wheeler
Shaft
Skin Game
Such Good Friends
Werewolves on Wheels
Willy Wonka & the Chocolate Factory
Beware! The Blob
Fritz the Cat
The Life and Times of Judge Roy Bean
"Now You See Him, Now You Don't"
Pete 'n' Tillie
Pocket Money
Portnoy's Complaint
The Poseidon Adventure
Prime Cut
Silent Running
Slaughterhouse-Five
The Thing with Two Heads
Cops and Robbers
Dillinger
Idaho Transfer
Invasion of the Bee Girls
The Last Detail
Luther
The Neptune Factor
Pat Garrett and Billy the Kid
Serpico
Sleeper
The Sting
Walking Tall
The Werewolf of Washington
The Giant Spider Invasion
Jaws
The Man in the Glass Booth
Nashville
The Rocky Horror Picture Show
Rollerball
The Stepford Wives
Thundercrack!
All the President's Men
At the Earth's Core
The Bingo Long Traveling All-Stars & Motor Kings
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson"
Embryo
The Front
Futureworld
"Next Stop, Greenwich Village"
A Star is Born
Track of the Moon Beast
Cross of Iron
Eraserhead
The Goodbye Girl
Grand Theft Auto
Heroes
The Incredible Melting Man
The Island of Dr. Moreau
Kingdom of the Spiders
MacArthur
The Mouse and His Child
Planet of Dinosaurs
Roots
Valentino
Viva Knievel!
Wizards
The Cat from Outer Space
The Deer Hunter
Girlfriends
Go Tell the Spartans
Goin' South
Heaven Can Wait
Hooper
Hot Lead and Cold Feet
International Velvet
The Lord of the Rings
Midnight Express
Movie Movie
Planet of Dinosaurs
Who'll Stop the Rain
Breaking Away
Caligula
Chapter Two
The Concorde ... Airport '79
Fast Break
The Fish That Saved Pittsburgh
French Postcards
The Frisco Kid
Going in Style
Goldengirl
Manhattan
Meteor
More American Graffiti
The Muppet Movie
The North Avenue Irregulars
North Dallas Forty
Parts: The Clonus Horror
Take Down
Time After Time
The Villain
Yanks
Death Watch
The Elephant Man
Fame
Fatso
Galaxina
The Jazz Singer
The Last Flight of Noah's Ark
Melvin and Howard
Raging Bull
Roadie
Rough Cut
The Sea Wolves
Smokey and the Bandit II
Somewhere in Time
Stardust Memories
The Stunt Man
Superman II
Times Square
Tom Horn
The Watcher in the Woods
Why Would I Lie?
Willie & Phil
Windows
Xanadu
...All the Marbles
American Pop
An American Werewolf in London
The Cannonball Run
Cutter's Way
Eyewitness
The Four Seasons
Galaxy of Terror
The Great Muppet Caper
Heartbeeps
History of the World: Part I
The Last Chase
Lion of the Desert
Looker
Pennies from Heaven
Reds
Android
Blade Runner
Creepshow
Forbidden World
Frances
Heidi's Song
Hey Good Lookin'
I'm Dancing as Fast as I Can
Liquid Sky
Missing
One from the Heart
Personal Best
Q
Tempest
Timerider: The Adventure of Lyle Swann
Time Walker
Tron
Anna to the Infinite Power
Brainstorm
Metalstorm: The Destruction of Jared-Syn
The Right Stuff
Space Raiders
Spacehunter: Adventures in the Forbidden Zone
Star 80
Staying Alive
Strange Invaders
Terms of Endearment
Uncommon Valor
Videodrome
Warrior of the Lost World
Winds of War
Beat Street
Broadway Danny Rose
C.H.U.D.
Cloak & Dagger
Conan the Destroyer
The Cotton Club
Footloose
Ghostbusters
Gremlins
The Hotel New Hampshire
The Ice Pirates
Iceman
Night of the Comet
The Philadelphia Experiment
Runaway
After Hours
Barbarian Queen
Cat's Eye
Creator
Creature
D.A.R.Y.L.
"Dungeonmaster, The"
Enemy Mine
Explorers
Fright Night
"Goonies, The"
Insignificance
Radioactive Dreams
Trancers
8 Million Ways to Die
52 Pick-Up
Choke Canyon
Combat Shock
Friday the 13th Part VI: Jason Lives
From Beyond
Heartbreak Ridge
Lucas
She's Gotta Have It
Short Circuit
Amazon Women on the Moon
Beverly Hills Cop II
The Big Bang
Broadcast News
Cherry 2000
Creepozoids
Cry Freedom
Death Run
The Hidden
Masters of the Universe
Munchies
Predator
Prince of Darkness
The Running Man
Terminus
Bad Dreams
Bat*21
Beetlejuice
Destroyer
Eight Men Out
Hobgoblins
The Incredible Hulk Returns
Killer Klowns from Outer Space
The Moderns
Mr. North
Not Of This Earth
Off Limits
Rain Man
Stand and Deliver
Sweet Hearts Dance
They Live
Tucker: The Man and His Dream
War and Remembrance
World Gone Wild
The Abyss
Always
Back to the Future Part II
Batman
Blaze
Bloodhounds of Broadway
Born on the Fourth of July
Cannibal Women in the Avocado Jungle of Death
Casualties of War
Cookie
DeepStar Six
Field of Dreams
Ghostbusters II
Glory
Great Balls of Fire!
Gross Anatomy
Harlem Nights
The January Man
Lean on Me
Lethal Weapon 2
Moontrap
My Name is Bill W.
Mystery Train
Red Scorpion
Shakedown
Slaves of New York
Small Sacrifices
Steel Magnolias
Triumph of the Spirit
Uncle Buck
Wired
Back to the Future Part III
Bird on a Wire
The Bonfire of the Vanities
Dances with Wolves
Dick Tracy
Edward Scissorhands
Gremlins 2: The New Batch
The Guyver
The Handmaid's Tale
Home Alone
The Hunt for Red October
Kindergarten Cop
Memphis Belle
Postcards from the Edge
Predator 2
Pump Up the Volume
Side Out
Tremors
Witchcraft II: The Temptress
Brother Future
Bugsy
Chopper Chicks in Zombietown
Dogfight
The Doors
The Fisher King
For the Boys
JFK
My Girl
Other People's Money
Star Trek VI: The Undiscovered Country
Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1492: Conquest of Paradise
Aladdin
Alien 3
The Bodyguard
Christopher Columbus: The Discovery
Freejack
The Lawnmower Man
Malcolm X
A Midnight Clear
Mom and Dad Save the World
Nemesis
The Player
Revenge of the Nerds III: The Next Generation
RoboCop 3
Ruby
Alive
Evil Dead 3: Army of Darkness
Cool Runnings
Dragon: The Bruce Lee Story
Fire in the Sky
Geronimo: An American Legend
Heart and Souls
Hocus Pocus
Homeward Bound: The Incredible Journey
Indian Summer
Josh and S.A.M.
Lost in Yonkers
A Perfect World
RoboCop 3
Rudy
The Thing Called Love
Three of Hearts
Tom and Jerry: The Movie
Tombstone
The Wedding Banquet
What's Love Got to Do with It
3 Ninjas Kick Back
Amateur
Andre
Angels in the Outfield
Beverly Hills Cop III
Blue Chips
Camp Nowhere
Clear and Present Danger
Cobb
"Corrina, Corrina"
Dream Lover
Ed Wood
Even Cowgirls Get the Blues
Exit to Eden
I'll Do Anything
Jason's Lyric
Jimmy Hollywood
North
Princess Caraboo
Pulp Fiction
Quiz Show
Richie Rich
The Road to Wellville
Timecop
True Lies
Wyatt Earp
The Yearling
Amanda and the Alien
Apollo 13
Attack of the 60 Foot Centerfold
Beyond Rangoon
Boys on the Side
Braveheart
The Brothers McMullen
Canadian Bacon
Coldblooded
Congo
Cyborg Cop II
Desperado
Empire Records
Free Willy 2: The Adventure Home
Friday
Get Shorty
Heat
Jefferson in Paris
Jumanji
Mighty Morphin Power Rangers: The Movie
Moonlight and Valentino
Species
Tom and Huck
Vampire in Brooklyn
Waterworld
2 Days in the Valley
The Arrival
Back to Back
Barb Wire
Basquiat
Before and After
Citizen Ruth
Gotti
Harriet the Spy
Independence Day
Jack
Jerry Maguire
Jingle All the Way
Mystery Science Theater 3000: The Movie
Santa with Muscles
Scream
That Thing You Do!
To Brave Alaska
Toad Warrior
Angels in the Endzone
Batman and Robin
Flubber
Geri's Game
Gridlock'd
Hercules
"Honey, We Shrunk Ourselves"
Keeping the Promise
Kiss the Girls
Omega Doom
Pooh's Grand Adventure: The Search for Christopher Robin
Prefontaine
Private Parts
Soul Food
Space Marines
Titanic
U Turn
Saving Private Ryan
The Second Arrival
Small Soldiers
Spice World
The Thin Red Line
200 Cigarettes
Animal Farm
Any Given Sunday
Blue Streak
Chill Factor
Chutney Popcorn
Galaxy Quest
The Hurricane
The Insider
Inspector Gadget
The Iron Giant
Jakob the Liar
Jawbreaker
"Mystery, Alaska"
Play It to the Bone
Pushing Tin
"South Park: Bigger, Longer & Uncut"
Three Kings
Varsity Blues
Virus
Wild Wild West
 102 Dalmatians
Almost Famous
American Psycho
Beautiful Joe
 Digimon: The Movie
Duets
Gladiator
Hollow Man
How the Grinch Stole Christmas
 Quills
 The Scarecrow
Terror Tract
What Planet Are You From?
Where the Heart Is
Where the Money Is
The Whole Nine Yards
Wonder Boys
 X-Men
 15 Minutes
3000 Miles to Graceland
Ali
Along Came a Spider
The Anniversary Party
Bartleby
A Beautiful Mind
Blow
Buffalo Soldiers
Cruel Intentions 2
Gosford Park
 13 Moons
8 Mile
 Abandon
About a Boy
About Schmidt
Adaptation.
The Adventures of Pluto Nash
All About the Benjamins
Antwone Fisher
Avenging Angelo Baby Beethoven Baby Newton 
 Bad Company
Below
Big Fat Liar
Big Trouble
Blade II
The Bourne Identity
Bubba Ho-tep
Catch Me If You Can
Crossroads
Cypher
The Dangerous Lives of Altar Boys
Drumline
FeardotCom
Frida
The Four Feathers
Harry Potter and the Chamber of Secrets
Igby Goes Down
Interstate 60
Killing Me Softly
The Lord of the Rings: The Two Towers
Men in Black II
Path to War
Punch-Drunk Love
The Tuxedo
Welcome to Collinwood
2 Fast 2 Furious
 Abby Singer
Agent Cody Banks
Alien Hunter
All the Real Girls
Bad Santa
The Battle of Shaker Heights
The Best Two Years
Beyond Borders
Big Fish
Bringing Rain
Brother Bear
Bruce Almighty
Bulletproof Monk
 Camp
Cheaper by the Dozen
Cold Creek Manor
Cold Mountain
The Company
The Cooler
The Core
Cosmopolitan
Crime Spree
 Daddy Day Care
Le Divorce
Dreamcatcher
 Elephant
Elf
Evil Alien Conquerors
The Fighting Temptations
Finding Nemo
From Justin to Kelly
 Gang of Roses
Gigli
Gods and Generals
Grand Theft Parsons
Grind
 The Haunted Mansion
Holes
Honey
House of 1000 Corpses
Hulk
The Hunted
The In-Laws
The Italian Job
 Lara Croft Tomb Raider: The Cradle of Life
The Last Samurai
Looney Tunes: Back in Action
The Lord of the Rings: The Return of the King
Lost in Translation
 Malibu's Most Wanted
Manhood
Masked and Anonymous
Master and Commander: The Far Side of the World
The Matrix Reloaded
Mona Lisa Smile
Open Water
The Order
 Party Monster
Paycheck
Peter Pan
Pieces of April
Pirates of the Caribbean: The Curse of the Black Pearl
 S.W.A.T.
Scary Movie 3
School of Rock
Seabiscuit
Secondhand Lions
Shanghai Knights
Shattered Glass
Spy Kids 3-D: Game Over
The Station Agent
Terminator 3: Rise of the Machines
Timeline
 Uncle Nino
Veronica Guerin
When Eagles Strike
The Young Black Stallion
Against the Ropes
Alexander
Alien vs. Predator
The Assassination of Richard Nixon
The Aviator
The Best Thief in the World
The Big Bounce
Bobby Jones: Stroke of Genius
The Butterfly Effect
 Catch That Kid
Cellular
The Day After Tomorrow
Eternal Sunshine of the Spotless Mind
Finding Neverland
Friday Night Lights
Harry Potter and the Prisoner of Azkaban
Hotel Rwanda
"I, Robot"
The Incredibles
Jersey Girl
Kinsey
Lemony Snicket's A Series of Unfortunate Events
The Manchurian Candidate
Miracle
Ocean's Twelve
The Polar Express
 Saved!
Scooby-Doo 2: Monsters Unleashed
Shark Tale
She Hate Me
Shrek 2
Spanglish
Starsky & Hutch
The Stepford Wives
 The Adventures of Sharkboy and Lavagirl in 3-D
Brokeback Mountain
Broken Flowers
The Brothers Grimm
Capote
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Cinderella Man
Diary of a Mad Black Woman
 The Family Stone
Goal!
Hoodwinked!
Lassie
Madagascar
Miss Congeniality 2: Armed and Fabulous
Mrs. Palfrey at the Claremont
Pretty Persuasion
Sin City
The Sisterhood of the Traveling Pants
Star Wars: Episode III – Revenge of the Sith
The Weather Man
American Dreamz
Aquamarine
Art School Confidential
As You Like It
Asian Stories
ATL
Brand Upon the Brain!
Casino Royale
The Devil Wears Prada
Flourish
Forget About It
The Good German
Happy Feet
Hollywoodland
Idiocracy
Infamous
Little Miss Sunshine
LOL
Madea's Family Reunion
Mini's First Time
Mission: Impossible III
The Night of the White Pants
 The Quick and the Undead
Running with Scissors
Scary Movie 4
Shortbus
Starter for 10
 Take the Lead
Two Weeks
Yeti: A Love Story
Adventures of Johnny Tao
After Sex
Alice Upside Down
Aliens vs. Predator: Requiem
Alvin and the Chipmunks
The Assassination of Jesse James by the Coward Robert Ford
August Rush
 Balls of Fury
Blades of Glory
Bratz: The Movie
Bridge to Terabithia
Charlie Wilson's War
The Comebacks
Control
 Daddy Day Camp
Daddy's Little Girls
Dan in Real Life
Death Sentence
Feel the Noise
 The Game Plan
Georgia Rule
The Go-Getter
The Golden Compass
The Great Debaters
Harry Potter and the Order of the Phoenix
Honeydripper
I'm Not There
In the Land of Women
Into the Wild
Juno
Lars and the Real Girl
The Last Mimzy
Margot at the Wedding
Martian Child
Mister Lonely
The Mother of Tears
 Nancy Drew
The Nanny Diaries
Numb
 Ocean's Thirteen
Pirates of the Caribbean: At World's End
Remember the Daze
Resident Evil: Extinction
Rocket Science
The Savages
Saw IV
Stomp the Yard
Sweeney Todd: The Demon Barber of Fleet Street
 Vacancy
 Waitress
 Year of the Dog
You Kill Me
Babylon A.D.
Bedtime Stories
 Cadillac Records
Che
Choke
City of Ember
Cloverfield
College
Defiance
Disaster Movie
Doomsday
Elegy
The Express
 The Family That Preys
First Sunday
Flash of Genius
Frost/Nixon
Hellboy II: The Golden Army
Henry Poole Is Here
High School Musical 3: Senior Year
Jumper
The Lucky Ones
 Mad Money
Marley & Me
 Quantum of Solace
Redbelt
Repo! The Genetic Opera
Semi-Pro
The Sisterhood of the Traveling Pants 2
Soul Men
The Spiderwick Chronicles
Superhero Movie
Twilight
 W.
17 Again
 Adam
Alien Trespass
Alvin and the Chipmunks: The Squeakquel
Amelia
Angels & Demons
Armored
Avatar
Away We Go
Battle for Terra
Berdella[2]
The Brothers Bloom
Crazy Heart
 Dance Flick
Dragonball Evolution
 Fame
Fired Up!
 G-Force
G.I. Joe: The Rise of Cobra
Gallowwalker
Gamer
Ghosts of Girlfriends Past
The Great Buck Howard
Hannah Montana: The Movie
Harry Potter and the Half-Blood Prince
The Hole
Hotel for Dogs
 I Can Do Bad All By Myself
"I Love You, Beth Cooper"
The Imaginarium of Doctor Parnassus
The Informant!
Inglourious Basterds
The International
Invictus
The Invention of Lying
Jennifer's Body
Julie & Julia
Labor Pains
Life During Wartime
Love N' Dancing
 Madea Goes to Jail
The Maiden Heist
Me and Orson Welles
New Moon
Next Day Air
Night at the Museum: Battle of the Smithsonian
Ninja Assassin
Notorious
Old Dogs
 Pandorum
The Princess and the Frog
Public Enemies
 Race to Witch Mountain
The Road
Shorts
The Soloist
Star Trek
Street Fighter: The Legend of Chun-Li
Surrogates
 The Taking of Pelham 123
Taking Woodstock
The Uninvited
Up in the Air
What Goes Up
Whatever Works
Where the Wild Things Are
Whip It
X-Men Origins: Wolverine
 Year One
The Young Victoria
127 Hours
The A-Team
Alice in Wonderland
Alpha and Omega
The American
BearCity
Big Money Rustlas
The Book of Eli
Case 39
Casino Jack
Cats & Dogs: The Revenge of Kitty Galore
The Chronicles of Narnia: The Voyage of the Dawn Treader
City Island
Clash of the Titans
Conviction
Cop Out
Country Strong
Crazy on the Outside
Despicable Me
Devil
Diary of a Wimpy Kid
Due Date
Easy A
Eat Pray Love
Fair Game
The Fighter
Furry Vengeance
Green Zone
Gulliver's Travels
Harry Potter and the Deathly Hallows: Part 1
Hot Tub Time Machine
How to Train Your Dragon
Hurricane Season
 I Love You Phillip Morris
It's Kind of a Funny Story
Jonah Hex
Knight and Day
The Last Airbender
The Last Song
Legion
The Losers
Love & Other Drugs
MacGruber
Marmaduke
Megamind
Middle Men
Nanny McPhee Returns
Paper Man
Percy Jackson & the Olympians: The Lightning Thief
Predators
Prince of Persia: The Sands of Time
Ramona and Beezus
Repo Men
Resident Evil: Afterlife
Robin Hood
The Runaways
Scott Pilgrim vs. the World
Secretariat
Shrek Forever After
Shutter Island
Skyline
The Sorcerer's Apprentice
Splice
The Spy Next Door
Step Up 3D
Takers
Tangled
Tooth Fairy
The Tourist
What If...
